time,x,y,theta,v,w,error,stage_cost,terminal_cost
3.8000000000000003,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5381960355855031,0.0,0.11439229649860283,1.0528215338630454e-09,0.013085597498224263,
3.9000000000000004,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5495263209127615,0.0,0.1133028532725845,1.0528215338630454e-09,0.012837536559708816,
4.0,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5607486990173823,0.0,0.11222378104620827,1.0528215338630454e-09,0.012594177032307296,
4.1000000000000005,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5718641964763179,0.0,0.11115497458935635,1.0528215338630454e-09,0.012355428375960457,
4.2,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5828738318803364,0.0,0.11009635404018445,1.0528215338630454e-09,0.01212120717294164,
4.3,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5937786144238624,0.0,0.10904782543526013,1.0528215338630454e-09,0.011891428232158968,
4.4,-1.0527646145038639e-09,-1.0947539187712878e-11,0.6045795418437434,0.0,0.1080092741988105,1.0528215338630454e-09,0.011666003312953832,
4.5,-1.0527646145038639e-09,-1.0947539187712878e-11,0.6152776032682884,0.0,0.10698061424544952,1.0528215338630454e-09,0.011444851824333678,
4.6000000000000005,-1.0527646145038639e-09,-1.0947539187712878e-11,0.6258737778352038,0.0,0.10596174566915414,1.0528215338630454e-09,0.011227891545254508,
4.7,-1.0527646145038639e-09,-1.0947539187712878e-11,0.6363690370929714,0.0,0.10495259257767611,1.0528215338630454e-09,0.011015046688775676,
4.800000000000001,-1.0527646145038639e-09,-1.0947539187712878e-11,0.6467643406900391,0.0,0.10395303597067594,1.0528215338630454e-09,0.010806233687520648,
4.9,-2.0895519368765931e-10,6.262225127783724e-10,0.6570606425018096,1.0573551975474666e-08,0.10296301811770547,6.60164304154281e-10,0.010601383099907057,
5.0,-2.0895519368765931e-10,6.262225127783724e-10,0.6672588839942711,0.0,0.10198241492461525,6.60164304154281e-10,0.010400412953856387,
5.1000000000000005,-2.0895519368765931e-10,6.262225127783724e-10,0.6773599995532363,0.0,0.10101115558965185,6.60164304154281e-10,0.010203253553556854,
5.2,-2.0895519368765931e-10,6.262225127783724e-10,0.6873649141463966,0.0,0.10004914593160176,6.60164304154281e-10,0.010009831601642946,
5.300000000000001,-2.0895519368765931e-10,6.262225127783724e-10,0.6972745435574466,0.0,0.09909629411050008,6.60164304154281e-10,0.009820075506434734,
5.4,-2.0895519368765931e-10,6.262225127783724e-10,0.7070897948310118,0.0,0.09815251273565144,6.60164304154281e-10,0.009633915756322218,
5.5,-2.0895519368765931e-10,6.262225127783724e-10,0.7168115673361749,0.0,0.09721772505163102,6.60164304154281e-10,0.009451286064214526,
5.6000000000000005,-2.0895519368765931e-10,6.262225127783724e-10,0.7264407524028295,0.0,0.09629185066654537,6.60164304154281e-10,0.009272120504788274,
5.7,-2.0895519368765931e-10,6.262225127783724e-10,0.7359782298844728,0.0,0.09537477481643374,6.60164304154281e-10,0.009096347671285443,
5.800000000000001,-9.926399164663097e-10,-8.359336258156885e-11,0.7454248746094269,-1.0573553431224762e-08,0.09446644724954019,9.961535293467247e-10,0.008923909655950272,
5.9,-1.381112145863596e-09,-4.4218699679808934e-10,0.7547815513958017,-5.286776593667539e-09,0.09356676786374883,1.4501724378808405e-09,0.008754740048468691,
6.0,-1.381112145863596e-09,-4.4218699679808934e-10,0.764049116940495,0.0,0.0926756554469332,1.4501724378808405e-09,0.00858877711251868,
6.1000000000000005,-1.381112145863596e-09,-4.4218699679808934e-10,0.7732284202773237,0.0,0.0917930333682874,1.4501724378808405e-09,0.008425960974951525,
6.2,-1.381112145863596e-09,-4.4218699679808934e-10,0.7823203016130408,0.0,0.09091881335716998,1.4501724378808405e-09,0.00826623062227591,
6.300000000000001,-1.7560925338672344e-09,-8.148661846986994e-10,0.791325593337391,-5.286776602823477e-09,0.09005291724350302,1.9359410854852113e-09,0.008109527904065234,
6.4,-2.127701677432109e-09,-1.1909070230528033e-09,0.8002451203156881,-5.28677659534689e-09,0.08919526978296957,2.4383137545656217e-09,0.007955796151656758,
6.5,-2.4959419708926216e-09,-1.5702474305932326e-09,0.809079699222722,-5.286776508618682e-09,0.0883457890703393,2.9487969267733568e-09,0.007804978446460919,
6.6000000000000005,-2.8608166314789672e-09,-1.9528262471871295e-09,0.8178301392432237,-5.286776606254398e-09,0.08750440020501606,3.4637843683823094e-09,0.007657020055239654,
6.7,-2.499303644938296e-09,-1.5670693200675287e-09,0.8264972423965363,5.286776392645262e-09,0.08667103153312616,2.949953383275532e-09,0.007511867707016186,
6.800000000000001,-2.499303644938296e-09,-1.5670693200675287e-09,0.835081801378165,0.0,0.08584558981628723,2.949953383275532e-09,0.0073694652909062465,
6.9,-2.499303644938296e-09,-1.5670693200675287e-09,0.8435846027047612,0.0,0.08502801326596242,2.949953383275532e-09,0.00722976303995669,
7.0,-2.499303644938296e-09,-1.5670693200675287e-09,0.8520064251244567,0.0,0.08421822419695486,2.949953383275532e-09,0.007092709286888562,
7.1000000000000005,-2.847424367413498e-09,-1.964953766796795e-09,0.860348039261376,-5.286776620642403e-09,0.08341614136919383,3.4596053002891922e-09,0.00695825264092537,
7.2,-2.5026347256808684e-09,-1.5641793185411205e-09,0.8686102098424819,5.286776479299605e-09,0.08262170581105888,2.9512433838529006e-09,0.006826346271129197,
7.300000000000001,-2.844101382930476e-09,-1.9677887814213104e-09,0.8767936928803177,-5.286776679032853e-09,0.0818348303783581,3.4584831016899027e-09,0.006696939463054683,
7.4,-2.5059490708038295e-09,-1.5613984981706633e-09,0.8848992383787002,5.286776414008238e-09,0.08105545498382459,2.9525829396567643e-09,0.006569986782634851,
7.5,-2.84079630911373e-09,-1.970516326746536e-09,0.8929275877432905,-5.286776623448396e-09,0.08028349364590291,3.4573195200688137e-09,0.006445439351991773,
7.6000000000000005,-2.5092443766312048e-09,-1.558723452415923e-09,0.9008794768821801,5.286776477990769e-09,0.07951889138889513,2.9539678642068428e-09,0.0063232540877189375,
7.7,-2.5092443766312048e-09,-1.558723452415923e-09,0.9087556336799059,0.0,0.07876156797725783,2.9539678642068428e-09,0.006203384590236215,
7.800000000000001,-2.834237175078459e-09,-1.9757123463814346e-09,0.9165567793952921,-5.286776491711735e-09,0.0780114571538622,3.4549008148195453e-09,0.006085787447268917,
7.9,-2.5125072285428485e-09,-1.5562008564791837e-09,0.9242836288716625,5.2867764153386826e-09,0.07726849476370419,2.9554109154543313e-09,0.005970420283048618,
8.0,-2.5125072285428485e-09,-1.5562008564791837e-09,0.9319368888329067,0.0,0.07653259961244226,2.9554109154543313e-09,0.005857238803438405,
8.1,-2.8277472598021476e-09,-1.9806107963062863e-09,0.9395172605866882,-5.286776658157678e-09,0.07580371753781504,3.4523866660273693e-09,0.005746203592552887,
8.200000000000001,-2.515733449093025e-09,-1.5538234488787238e-09,0.9470254385424126,5.286776503669159e-09,0.07508177955724418,2.9569041406800556e-09,0.005637273621482647,
8.3,-2.8245341078048743e-09,-1.9829414107448303e-09,0.9544621098603678,-5.286776636259505e-09,0.07436671317955278,3.4510939663532453e-09,0.005530408029129909,
8.4,-2.5189331803446103e-09,-1.5515389046196264e-09,0.9618279560451983,5.2867764200472874e-09,0.07365846184830453,2.9584281873301034e-09,0.005425569001858171,
8.5,-2.8213482119304444e-09,-1.9851807114059213e-09,0.969123650652603,-5.286776597530327e-09,0.07295694607404599,3.449775092654771e-09,0.005322715980451294,
8.6,-2.8213482119304444e-09,-1.9851807114059213e-09,0.9763498629599221,0.0,0.07226212307319162,3.449775092654771e-09,0.005221814431045104,
8.700000000000001,-2.5252621705272288e-09,-1.5471931672043123e-09,0.9835072545130258,5.286776265263956e-09,0.07157391553103663,2.9615461716035426e-09,0.005122825384444004,
